front;front_delta;front_right;front_right_delta;rear_right;rear_right_delta;mode1;mode2;mode3;mode4;mode5;prev_mode1;prev_mode2;prev_mode3;prev_mode4;prev_mode5;Column1
43;-1;29;1;27;-26;0;0;1;0;0;0;0;1;0;0;
42;-1;27;-2;27;0;0;0;1;0;0;0;0;1;0;0;
134;92;27;0;50;23;0;0;1;0;0;0;0;1;0;0;
39;-95;28;1;51;1;0;1;0;0;0;0;0;1;0;0;
36;-3;28;0;29;-22;0;1;0;0;0;0;1;0;0;0;
35;-1;26;-2;29;0;0;0;1;0;0;0;1;0;0;0;
33;-2;26;0;28;-1;0;1;0;0;0;0;0;1;0;0;
33;0;27;1;24;-4;0;0;1;0;0;0;1;0;0;0;
31;-2;26;-1;24;0;0;0;1;0;0;0;0;1;0;0;
241;210;27;1;25;1;0;1;0;0;0;0;0;1;0;0;
198;-43;23;-4;24;-1;0;0;1;0;0;0;1;0;0;0;
195;-3;22;-1;24;0;0;0;1;0;0;0;0;1;0;0;
192;-3;22;0;25;1;0;1;0;0;0;0;0;1;0;0;
189;-3;50;28;26;1;0;0;1;0;0;0;1;0;0;0;
187;-2;48;-2;27;1;0;0;1;0;0;0;0;1;0;0;
184;-3;48;0;27;0;0;1;0;0;0;0;0;1;0;0;
182;-2;47;-1;28;1;0;0;0;1;0;0;1;0;0;0;
179;-3;46;-1;29;1;0;0;0;1;0;0;0;0;1;0;
177;-2;46;0;29;0;0;0;1;0;0;0;0;0;1;0;
175;-2;45;-1;30;1;0;0;1;0;0;0;0;1;0;0;
172;-3;43;-2;32;2;0;0;1;0;0;0;0;1;0;0;
170;-2;41;-2;34;2;0;0;1;0;0;0;0;1;0;0;
168;-2;39;-2;30;-4;0;0;0;1;0;0;0;1;0;0;
166;-2;38;-1;30;0;0;0;1;0;0;0;0;0;1;0;
163;-3;38;0;32;2;0;0;1;0;0;0;0;1;0;0;
162;-1;35;-3;33;1;0;0;1;0;0;0;0;1;0;0;
169;7;34;-1;34;1;0;1;0;0;0;0;0;1;0;0;
166;-3;31;-3;34;0;0;0;1;0;0;0;1;0;0;0;
164;-2;29;-2;35;1;0;1;0;0;0;0;0;1;0;0;
161;-3;29;0;36;1;0;0;1;0;0;0;1;0;0;0;
159;-2;28;-1;37;1;0;0;1;0;0;0;0;1;0;0;
156;-3;29;1;22;-15;0;0;1;0;0;0;0;1;0;0;
153;-3;29;0;24;2;0;0;1;0;0;0;0;1;0;0;
151;-2;70;41;26;2;0;0;1;0;0;0;0;1;0;0;
148;-3;68;-2;26;0;0;0;1;0;0;0;0;1;0;0;
146;-2;65;-3;29;3;0;0;0;1;0;0;0;1;0;0;
144;-2;64;-1;32;3;0;0;0;1;0;0;0;0;1;0;
141;-3;129;65;36;4;0;0;1;0;0;0;0;0;1;0;
139;-2;61;-68;36;0;0;0;0;1;0;0;0;1;0;0;
137;-2;73;12;36;0;0;0;1;0;0;0;0;0;1;0;
128;-9;123;50;39;3;0;0;1;0;0;0;0;1;0;0;
124;-4;56;-67;41;2;0;0;1;0;0;0;0;1;0;0;
121;-3;57;1;43;2;0;0;1;0;0;0;0;1;0;0;
119;-2;56;-1;43;0;0;0;1;0;0;0;0;1;0;0;
117;-2;114;58;45;2;0;0;0;1;0;0;0;1;0;0;
114;-3;113;-1;46;1;0;0;1;0;0;0;0;0;1;0;
111;-3;110;-3;48;2;0;0;1;0;0;0;0;1;0;0;
109;-2;108;-2;49;1;0;0;0;1;0;0;0;1;0;0;
106;-3;56;-52;50;1;0;0;1;0;0;0;0;0;1;0;
104;-2;104;48;51;1;0;0;0;1;0;0;0;1;0;0;
101;-3;43;-61;52;1;0;0;1;0;0;0;0;0;1;0;
71;-30;41;-2;56;4;0;0;1;0;0;0;0;1;0;0;
69;-2;113;72;54;-2;0;0;1;0;0;0;0;1;0;0;
67;-2;36;-77;55;1;0;0;1;0;0;0;0;1;0;0;
65;-2;28;-8;57;2;0;0;1;0;0;0;0;1;0;0;
61;-4;27;-1;26;-31;0;0;1;0;0;0;0;1;0;0;
59;-2;27;0;63;37;0;0;1;0;0;0;0;1;0;0;
58;-1;34;7;26;-37;0;0;1;0;0;0;0;1;0;0;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
